32440	24	77680
64734	28	92336
16659	25	45662
26312	27	92180
47297	4	46506
1243	7	42403
76	30	12097
15658	25	29643
22962	28	92336
26436	28	92337
7774	15	68403
52014	7	21495
29466	4	46496
94110	31	11425
48206	9	63717
26436	1	3436
54065	10	65569
63564	8	8155
3011	36	39863
66435	10	65543
24597	28	92349
56669	7	15144
30321	24	73504
41132	4	46508
14350	28	92336
37112	22	70887
10460	7	47191
4125	25	24824
42873	24	80643
8249	25	30801
64168	9	63717
24461	1	8663
21817	10	65521
18092	3	18093
29253	9	63717
26839	25	26838
59314	7	60442
41892	24	75442
7953	30	37351
60742	9	63717
24060	28	92336
1874	5	52539
12995	7	22385
19454	27	92180
47295	28	92345
26046	4	46496
26761	28	92338
1259	27	92180
10354	7	26462
15673	1	563
13675	4	46496
64450	28	92342
30571	22	70869
13586	4	46496
34311	4	46496
13758	22	70891
28244	3	32116
22564	10	65524
7090	5	53028
17589	25	36735
18409	15	25097
36448	24	73498
39936	3	10454
28249	3	33639
42192	3	34910
28120	1	1101
20442	34	104392
37436	15	40799
48524	10	65681
25723	3	25724
38961	3	9651
57730	7	61951
22048	34	104368
42109	3	1874
15005	15	15004
48307	24	84952
35468	7	49497
9581	7	19850
11470	7	49380
55446	7	22775
30988	4	36653
31973	36	40386
1184	7	58612
32112	15	40315
31222	1	21206
28580	7	28579
93906	31	5536
30675	1	6399
33728	33	69043
22904	28	92336
17131	4	46496
12724	15	29270
98818	36	30083
15241	1	2586
21925	1	15758
2784	7	20447
63346	7	26974
20924	1	20925
29216	4	46496
12217	0	12218
12728	15	31780
31507	1	28323
28844	3	3354
58846	28	92336
94710	31	787
65172	9	36653
29616	4	46560
753	7	23349
92508	31	3723
64778	28	92347
1152	0	1153
58315	7	59962
12643	35	107064
4457	29	93506
61723	28	92345
44596	15	26764
21370	1	4966
43241	3	663
8871	7	57247
27682	10	65585
19685	4	46587
48150	24	91006
21523	25	24108
50448	10	65599
2591	7	51157
8108	0	8109
94268	31	6609
12568	7	13462
20744	9	63717
56776	7	56777
35326	24	81697
